No.,book_title,description,response
34,"The Perilous Sea (The Elemental Trilogy, #2)","After spending the summer away from each other, Titus and Iolanthe (still disguised as Archer Fairfax) are eager to return to Eton College to resume their training to fight the Bane. Although no longer bound to Titus by a blood oath, Iolanthe is more committed than ever to fulfilling her destiny--especially with the agents of Atlantis quickly closing in.
Soon after arriving at school, though, Titus makes a shocking discovery, one that makes him question everything he previously believed about their mission. Faced with this devastating realization, Iolanthe is forced to come to terms with her new role, while Titus must choose between following his mother's prophecies--and forging a divergent path to an unknowable future.","Viết bài đánh giá về ""The Perilous Sea"" tập trung vào sự xung đột giữa định mệnh được tiên đoán trước và khả năng tự do lựa chọn con đường riêng của mỗi cá nhân, đặc biệt là khi đối mặt với những khám phá làm lung lay niềm tin cốt lõi."
35,Portrait of Lisane de Patagnia,The line between art and magic is a treacherous thing.,"Đánh giá cuốn ""Portrait of Lisane de Patagnia"" tập trung vào sự giằng xé giữa tham vọng sáng tạo và cái giá phải trả cho sức mạnh ma thuật mà nhân vật chính phải đối mặt."
36,"The Rest Of Our Lives (The Rest of Our Lives, #1)","Colm McKenna has led a guarded life. Gifted with a wintry soul and a photographer's eye, he can stop time as easily as he freezes water or call down cold north winds. With such powers, he thinks he is alone and unique in the world. Then, seemingly by accident, he meets writer Aidan Gallagher, his opposite, a young man who quickens Colm's heart as magically as heats the air. In this lighthearted, gay romantic fantasy, can two male witches whose passion reincarnates century after century, find a way to express their love for each other again? Can this enchanting pair finally succeed after so many lifetimes?","Đánh giá cuốn ""The Rest Of Our Lives"" tập trung vào cách tác giả xây dựng và lý giải cho vòng lặp luân hồi của tình yêu giữa hai nhân vật chính, làm nổi bật những thách thức và cơ hội mà họ phải đối mặt trong việc phá vỡ hoặc chấp nhận định mệnh."
37,"Smitten (Smitten, #1)","Welcome to Smitten, Vermont.
With the help of four friends, it's about to become the most romantic town in America.
The proposed closing of the lumber mill comes as unwelcome news for the citizens of Smitten. How will the town survive without its main employer? A close-knit group of women think they've got just the plan to save Smitten. They'll capitalize on its name and turn it into a tourist destination for lovers complete with sweet shops, a high-end spa, romantic music on the square, and cabins outfitted with fireplaces and hot tubs.
But is this manly town ready for an influx of romantically-minded guests?
Country music sensation Sawyer Smitten, the town's hometown hero, wants to help by holding his own wedding there on Valentine's Day. And little Mia's lavender wreaths hang all over town as a reminder that faith can work miracles. Along the way, four women spearheading the town's transformation energetic Natalie, sophisticated Julia, graceful Shelby, and athletic Reese get in the spirit by reviving their own love lives.
Join best-selling inspirational romance authors (and real-life BFFs) Colleen Coble, Kristin Billerbeck, Diann Hunt, and Denise Hunter for an inspiring stay at the (soon-to-be) most romantic town on the eastern seaboard.
One visit . . . and you ll be smitten too.","Tôi muốn viết bài đánh giá về cuốn sách ""Smitten (Smitten, #1)"" tập trung vào cách cộng đồng nhỏ bé này biến đổi, cân bằng giữa việc bảo tồn bản sắc địa phương và nắm bắt cơ hội mới để phát triển du lịch lãng mạn."
38,The new complete guide to women's running,"The essential guide for women everywhere. Running is a simple sport, but it's not always easy to take the first steps towards a new you, so we've put together this guide to help you become the runner you want to be. The Runner's World Complete Guide to Women's Running is packed with expert training advice, proven weight-loss strategies, can't-fail motivation tips and inspirational real-life success stories. This book will empower you to challenge your physical and mental limits and have fun as you work towards your running goals, whether that's to get in shape, finish a your first 5K or run a marathon. With chapters on training, health, nutrition, weight loss, running and pregnancy, motivation, cross-training and racing, the Runner's World Complete Guide to Women's Running will help you to discover the power of running.","Tôi muốn viết bài đánh giá về cuốn sách ""The new complete guide to women's running"" tập trung vào cách cuốn sách truyền cảm hứng và trao quyền cho phụ nữ vượt qua những rào cản tâm lý và thể chất để đạt được mục tiêu chạy bộ của mình."
39,Omega's Pack (The Omega Geek #2),"Brandon isn't sure how he ended up in a pack with two alphas fighting for his attention. Still, the cute omega is eager for his nightly double-knot by his muscular alphas, Zane and Graham. Their thick musk and piercing gaze invades his senses, causing the omega to lose his mind. While the alphas do their best to keep Brandon a secret, danger appears to be lurking around the corner, waiting to expose the truth...
Omega Geek is a sweltering 3-part MPreg series with NO cliffhangers at the end of each book.
Book 1 - Out Now: www.amazon.com/gp/product/B010VZ2NKI?
Book 3 out July 17th, 2015
A 65-page story with adult content, sexually explicit scenes between a strong, demanding, yet understanding alpha and his tender, sweet omega. Contains male breeding and knotting.","Viết đánh giá cuốn "Omega's Pack (The Omega Geek #2)" tập trung vào sự đấu tranh nội tâm của Brandon giữa khao khát được bảo vệ và thuộc về một pack với hai Alpha, với mong muốn giữ bí mật về mối quan hệ này trong một thế giới đầy rẫy nguy hiểm."
40,"The Future of Our Past (The Remembrance Trilogy, #1)","Julia Abbot and Ryan Matthews have been inseparable best friends since the moment they met. Each of them fight an internal battle, unwilling to risk their incredible friendship, but unable to quell their deep longing for the other. On the verge of Ryan's departure to Harvard Medical School and Julia's for her new job on the opposite coast, they are forced to face the undeniable truth of their deeper feelings and find themselves enthralled in a passion like neither has ever known.
The lovers are faced with forced separation, great distances and others who try to sabotage their relationship as both of them work to build the shared future they both dream of. When their lives begin to finally gel, Julia is offered a promotion that will jettison her career to new heights. Ryan is left angry and bereft as it will only postpone their reunion yet again. In light of the sacrifices she has made for him, he can hardly deny her, and Julia is faced with the most difficult decision of her life. Will she choose the chance of a lifetime or the love of her life?
The Future of Our Past is the first book in The Remembrance Trilogy, a truly transcendent love story of a powerful and passionate connection, like we all dream of.","Tôi muốn viết bài đánh giá về cuốn sách ""The Future of Our Past"" tập trung vào sự giằng xé giữa tình yêu và sự nghiệp, và những hy sinh cá nhân mà Julia phải đối mặt để cân bằng cả hai."
41,Confessions of a Domestic Failure,"From the creator of The Honest Toddler comes a fiction debut sure to be a must-read for moms everywhere 
There are good moms and bad moms--and then there are hot-mess moms. Introducing Ashley Keller, career girl turned stay-at-home mom who's trying to navigate the world of Pinterest-perfect, Facebook-fantastic and Instagram-impressive mommies but failing miserably.
When Ashley gets the opportunity to participate in the Motherhood Better boot camp run by the mommy-blog-empire maven she idolizes, she jumps at the chance to become the perfect mom she's always wanted to be. But will she fly high or flop?
With her razor-sharp wit and knack for finding the funny in everything, Bunmi Laditan creates a character as flawed and lovable as Bridget Jones or Becky Bloomwood while hilariously lambasting the societal pressures placed upon every new mother. At its heart, Ashley's story reminds moms that there's no way to be perfect, but many ways to be great.","Tôi muốn viết bài đánh giá về cuốn sách ""Confessions of a Domestic Failure"", tập trung vào sự châm biếm sâu sắc của tác giả về áp lực hoàn hảo mà xã hội đặt lên vai các bà mẹ hiện đại, đặc biệt là thông qua mạng xã hội."
42,Coco Butternut,"Coco Butternut marks the always-welcome return of Joe R. Lansdale's dysfunctional duo: Hap Collins and Leonard Pine. As usual, wherever Hap and Leonard go, trouble seems to already be there, awaiting their arrival. And in the case of this twisty, hilarious, and heartfelt new novella, Lansdale sends his heroes to Oak Rest mortuary and cemetery to grapple with the living and the dead--both canine and human.
When the mummified corpse of a beloved prize-winning dachshund named Coco Butternut is stolen from her final resting place, Hap and Leonard are hired by the owner to get her body back. The job is straightforward: they must simply exchange a bag full of cash for the missing pooch's mummy. But they can feel something's not on the up-and-up, and how right they are.
With assistance from Hap's significant other, Brett, and his daughter, Chance, Hap and Leonard are soon embroiled in a gripping mystery tied to the dark secrets lurking beneath the hallowed ground of Oak Rest cemetery. In his inimitable style, and at the top of his game, here Lansdale gives us a highly enjoyable new entry in the ongoing adventures of Hap and Leonard.","Đánh giá cuốn ""Coco Butternut"" dưới góc độ sự hài hước đen tối và những bình luận xã hội sâu sắc ẩn sau các tình huống dở khóc dở cười mà Hap và Leonard gặp phải trong thế giới kỳ lạ của nhà xác Oak Rest."
43,Jake (Inked Brothers #2),"Jake Wilson is ready to step up to the challenge that is Addi Woods. She's intriguing him beyond his own comprehension and his desire to get her is taking up most of his attention. Will she ever just give in and see how good it could be?
Addi Woods knows what a guy like Jake could do to her. She refuses to fall for someone like him again. She knows what the consequences will be if she lets him too close, so she makes it her mission to keep him at arm's length. Will she survive his panty dropping charm?","Đánh giá cuốn ""Jake (Inked Brothers #2)"" tập trung vào cuộc đấu tranh giữa Addi trong việc bảo vệ trái tim mình và sức quyến rũ khó cưỡng của Jake, khám phá liệu sự tổn thương trong quá khứ có chiến thắng được khao khát yêu đương."
44,Glenrannoch,,"Tôi muốn viết bài đánh giá về cuốn sách ""Glenrannoch"" tập trung vào sự giằng xé giữa khát vọng tự do cá nhân và trách nhiệm đối với gia tộc, dòng dõi trong bối cảnh xã hội Scotland thế kỷ 18."
45,Bitten,"An old-fashioned movie theatre with a strange secret. A jilted, pissed-off girlfriend. And a smoldering supernatural hottie to die for.
Being stuck doing late-night clean-up alone at The Killer B's, the movie theatre where she works, is a trial Lizzie Sharpe could really do without. She just wants to finish her work, go home, and forget about her crappy day. But The Killer B's hides a very interesting secret, and Lizzie isn't as alone as she thought.
When the hot dude from the movie Bitten By The Vampire appears out of nowhere and says he wants her, she's understandably doubtful. But vampire Vlad is sexy and persuasive, and by the end of the night, Lizzie is going to discover there are far worse things than being BITTEN by the vampire.","Đánh giá cuốn ""Bitten"" tập trung vào cách tác giả khai thác sức mạnh tình dục và sự giải phóng bản thân thông qua yếu tố siêu nhiên, khám phá sự thay đổi trong nhận thức của Lizzie về ham muốn và bản năng khi đối diện với ma cà rồng Vlad."
46,Nightlight Tales,"13 tales of terror.
13 tales that will have you reaching for the nightlight before you go to bed tonight.
The stories in this chilling collection are as follows.
1. The Man from the Road: A man suddenly appears on a road. He's lost, confused, no clue as to how he got there. He starts to walk and stops suddenly. There's a bonfire in a field nearby. He sees people dancing around this fire. They are performing some kind of ritual. He turns to flee, but he's captured. No chance of escape. He hopes he is only dreaming, because all of this seems a bit too real.
2. The Living Sand: Two boys discover a hidden beach and the evil deadly secrets that lie within its soft white grains of sand.
3. SHe: A monster stalks the city of Tampa Bay. This monster is only attacking women taking only the one thing it needs. Tim Roberts, a detective, is hot on this monster's trail. Will he catch this monster in time or will this monster feed until it has its fill? Be careful Tim, this monster has a secret yet to be revealed.
4. A Zombie Christmas: Three men risk life and limb in a Zombie Apocalypse in order to bring happiness to surviving kids on Christmas Morning.
5. Need to Feed: Another year. Another massacre looming. When the sun rises on the Old West town of Saltwater Junction this town will face head on two fierce predators. Vampires who stalk you in the sunlight and werewolves that transform with the sunrise. This short story rewrites the legends and all you've ever known about these creatures of the night. Where do you go when there's no place left to hide?
6. A Haunted House Tale: Five college students on Halloween night set out to discover the secrets of the town's most infamous haunted house. Will these students live to see the morning or will this house claim five more victims?
7. A Zombie Thanksgiving: A woman risks life and limb in a Zombie Apocalypse in order to keep the Thanksgiving tradition alive.
8. Sandy and The Stranger: A road racing champion meets his match in the form of a stranger who may or may not be the ghost of James Dean himself.
9. Demon Energy: A short story about 1 man possessed and tormented by a 1000 demons who must fight for a soul he is starting to lose. Will he ever find salvation or is his body now an eternal host of hell?
10. Killer Treads: A short story about a man who sees a flashy ad online advertising a twenty dollar treadmill. He buys the machine, too cheap to be scared, and realizes much to his dismay that this machine has a taste for blood. Big Bob better run like his life depends on it because in many ways it does.
11. A Zombie New Year's Eve: Becky and Joe are separated in a Zombie Apocalypse and risk life and limb in order to reunite for their New Year's Eve kiss.
12. Joyride: A Joyride in a Chevy Chevelle. The car was just sitting there for the taking. What could possibly go wrong? Vinnie and Mike are about to find out what can and will go wrong once they turn the key. Evil awaits.
13. A Vampire at Christmas: A Vampire uses his riches and immortal skills to bring joy to those in need during the Christmas Season.","Phân tích cách ""Nightlight Tales"" sử dụng các yếu tố kinh dị cổ điển (vampire, zombie, haunted house...) để khai thác và tái định nghĩa nỗi sợ hãi hiện đại trong xã hội đương thời."
47,Peter Pan and Wendy,"J. M. Barrie's enduringly popular characters, Peter and Wendy, are immortalised by the delightful colour plates and black and white line drawings of Attwell's characteristically angelic children. Many of the earliest children's books, particularly those dating back to the 1850s and before, are now extremely scarce and increasingly expensive. Pook Press are working to republish these classic works in affordable, high quality, colour editions, using the original text and artwork so these works can delight another generation of children. About the Author: James M. Barrie (1860-1937) was a Scottish playwright and author who is best known for his character Peter Pan. Peter Pan or, The Boy Who Would Not Grow Up was first performed in 1904 and published 24 years later; his only play intended explicitly for a young audience. Barrie's success as a playwright allowed him to indulge in a level of philanthropy and the royalties earned from the much adored Peter Pan have helped fund the Great Ormond Street Hospital since his death. About the Illustrator: Mabel Lucie Attwell (1879-1964) was a household name during the 1930s and 40s working mostly in watercolour and pen-and-ink. The public was enthusiastic about her delicate early work and her illustrations of chubby, endearing toddlers were enormously popular, lending her much commercial success.","Viết bài đánh giá về ""Peter Pan và Wendy"" tập trung vào sự giằng xé giữa khao khát phiêu lưu và nỗi sợ trưởng thành, thể hiện qua nhân vật Peter Pan."
48,"The Highlander's Folly (Loch Moigh, #3)","A brave fifteenth-century Highlander fiercely devoted to his foster family, Hunter of clan MacKintosh can defeat any man in battle. Thanks to his fae gifts, he can read the intent of his opponents and guess their next moves. But when the faerie Madame Giselle sends Hunter to the present day, he stumbles into a staged battle and rescues a young knight--only to discover that the knight is a woman, and she's anything but a damsel in distress.
Meghan McGladrey learned martial arts and sword fighting from her father, a time-traveling Highlander himself. To Hunter's surprise, Meghan is as skilled as any knight. When both of them are pulled back to the fifteenth century, Meghan becomes desperate to return to her time. Hunter, who is pledged to another, begins to fall for the beautiful, brave warrior as they fight side by side against a common enemy. Now, he must decide which matters more: his honor, or following his heart.
Exciting battles and intoxicating passion reunite in the third Novel of Loch Moigh from award-winning author Barbara Longley.","Viết bài đánh giá về ""The Highlander's Folly"" tập trung vào sự xung đột giữa lòng trung thành với lời thề và tiếng gọi của tình yêu vượt thời gian, và cách Hunter giằng xé giữa nghĩa vụ và con tim."
49,"The Complete Far Side, 1980–1994","A New York Times best-seller!
""Every one of these cartoons is just something that drifted into my head when I was alone with my thoughts. And, for better or worse, I 'jotted' them down. It was only later, when perhaps I received an angry letter from someone, that it struck me: Hey! Someone's been reading my diary!""
Gary Larson, from the preface to The Complete Far Side
Revered by its fans as the funniest, most original, most ""What the ... ?""-inspiring cartoon ever, The Far Side(r) debuted in January 1980 and enjoyed an illustrious 14 years on the worlds comics pages until Gary Larson's retirement in 1994.
The Complete Far Side celebrates Gary's twisted, irreverent genius in this ultimate Far Side book, a lavish production, which takes its place alongside collector's-edition art books.
A masterpiece of comic brilliance, The Complete Far Side contains every Far Side cartoon ever syndicated over 4,000 if you must know presented in (more or less) chronological order by year of publication, with more than 1,100 that
have never before appeared in a book. Also included are additional Far Side cartoons Larson created after
his retirement: 13 that appeared in the last Far Side book,
Last Chapter and Worse, and six cartoons that periodically ran as a special feature in The New York Times Science Times section as The Far Side of Science.
Creator Gary Larson offers a rare glimpse into the mind of The Far Side(r)in quirky and thoughtful introductions to each of the 14 chapters. Complaint letters, fan letters, and queries from puzzled readers appear alongside some of the more provocative or elusive panels. Actor, author,and comedian Steve Martin offers his pithy thoughts in a foreword, and Gary
Larson's former editor describes what it was like to be ""the guy who could explain every Far Side cartoon.""
The Complete Far Side(c) 2003 by FarWorks, Inc. All Rights Reserved.
The Far Side(r) and the Larson(r) signature
are registered trademarks of FarWorks, Inc.","Đánh giá ""The Complete Far Side"" tập trung vào cách Larson sử dụng yếu tố bất ngờ và hài hước đen tối để châm biếm những điều bình dị trong cuộc sống."
50,Open Secret,"Carrie St. John: Wealthy, privileged and...adopted?
The idea would be preposterous, except...Carrie has never truly felt as if she belonged. Now she has a sister who wants to meet her and a brother no one can find. Not to mention adoptive parents she doesn't seem to know anymore. With all the changes going on, it seems the only stable presence in her life is the private investigator who tracked her down.
Mark Kinkaid has become a trusted confidant and counselor, a good friend. Could it be love she's feeling for him - or just need? Will she discard him once she's sorted things out? Or is this the start of something truly special...?","Tôi muốn viết bài đánh giá về cuốn sách ""Open Secret"" tập trung vào chủ đề **""Sự thật về gia đình""**, khám phá tác động của việc khám phá bí mật về nguồn gốc lên các mối quan hệ hiện tại và cảm giác thuộc về của nhân vật chính."
51,Hellblazer issues #93-95,,"Đánh giá Hellblazer #93-95: Phân tích sự giằng xé giữa lý tưởng và thực tế tàn khốc trong việc sử dụng ma thuật để cứu rỗi, tập trung vào hậu quả đạo đức và tâm lý mà Constantine phải gánh chịu."
52,Little Miss Quick,"Little Miss Quick does everything as quickly as possible! Unfortunately, ""quickly"" also usually means means ""carelessly."" And when she tries to help her friends but messes up everything instead, she finds herself in a lot of trouble!","Viết bài đánh giá về ""Little Miss Quick"", tập trung vào việc liệu sự vội vã và thiếu cẩn trọng có thực sự giúp ích hay chỉ gây thêm rắc rối cho bản thân và những người xung quanh."
53,Ricochet,"The only sure way to destroy a man is to take what he cannot live without.
Three years ago, I had everything.
A beautiful wife.
A son.
A reason for living.
Until a ruthless task force, assembled under Mayor Michael Culling, with a brutal strategy to make the streets of Detroit 'safe', ripped away everything I loved in a deadly hunt called The Culling.
They tried to kill me, too. I wish they had. Now I'm cursed by the memories of that night, and the words I whispered to my dying wife.
A promise--to avenge the wrong and set it right.
I'm no longer Nick Ryder. I'm a masked vigilante. Faceless. Loveless. Fearless. A man with nothing left to lose--one who's seen the dark and violent truth behind the city's flawless veneer.
Michael Culling doesn't know who I am. Or what I want. All he knows is that I've kidnapped hisbeautiful wife.
An eye for an eye--isn't that how the saying goes? And Aubree Culling is the perfect pawn to destroy him.
If she doesn't destroy me first.
WARNING: **Not recommended for readers under the age of 18 due to graphic violence, sex and strong language. Trigger warning for self harm.","Tôi muốn viết bài đánh giá về cuốn sách ""Ricochet"" tập trung vào sự giằng xé nội tâm của nhân vật chính giữa khao khát trả thù và nguy cơ đánh mất nhân tính của mình trong quá trình đó."
54,The Future in America,,"Tôi muốn viết bài đánh giá về cuốn sách ""The Future in America"" tập trung vào sự ảnh hưởng của công nghệ và tự động hóa đến lực lượng lao động và bản chất của công việc trong tương lai được mô tả trong sách."
55,Mystery of the Giant Masks of Sanxingdui,"The mysterious and ancient city of Sanxingdui is famous for its astonishing bronze-casting technology. Villagers come from faraway lands to admire the bronze masks and trade for the highly prized bronze wares. However, Sanxingdui faces danger when its people hear rumors of a foreign invasion. The chief's daughter, Min, and her newly initiated warrior brother, Wei, lead the villagers to flee their homeland. Where do they go? And what do they do with their sacred bronze masks and statues?
This unprecedented children's story offers a glimpse into the lost civilization of Sanxingdui in Sichuan Province, China, over 3,000 years ago. In 1986, the epic discovery of the monumental bronzes in Sanxingdui was acknowledged as the ""ninth wonder of the ancient world."" The artifacts unearthed are as old as the Pyramids of Egypt and reveal an advanced and civilized society in Sanxingdui. The ancient history of China is being rewritten as the ongoing excavation of Sanxingdui continues.","Viết bài đánh giá cuốn sách ""Mystery of the Giant Masks of Sanxingdui,"" tập trung vào cách câu chuyện khám phá sự cân bằng giữa bảo tồn di sản văn hóa (những chiếc mặt nạ đồng) và sự sống còn của cộng đồng trước hiểm họa xâm lược."
56,"A Risk Worth Taking (Grayson County, #1)","When 22-year-old Summer Stafford's parents split halfway through her senior year at college, Summer's world is rocked. Everything she thought she knew--heck, everything she thought she wanted for her own life--feels like a lie. The truth is love is a risk. And the true kind, the kind that lasts, might even be a fairy tale.
Reeling from the divorce, Summer derails her own future by breaking up with her parent-approved boyfriend and giving up her lifelong plans for a big-city career. She moves back home, business degree in hand. Dad needs her to fill the gaps her mother left behind; Summer needs to find who she is outside of the cookie-cutter life that failed so miserably for her parents.
Ford O'Neal's future involves one person: himself. He doesn't have a permanent address and he definitely doesn't commit. To a place or a person. Raised by hippies, he plans just far enough ahead to secure his next stop, this one landing him at a work-study program at Heritage Plantation where he can grow his own herbal and medicinal creations.
Summer is gorgeous and smart and fun to be with, the perfect way to pass five months. It won't be love--Ford's got too many things to accomplish, too many places to go, before he settles down. Yet Summer pulls him in, challenging him to rethink his own philosophy.
When Ford's five months are up, each of them must decide if love is really worth the risk.","Đánh giá ""A Risk Worth Taking"" tập trung vào cách tác giả xây dựng sự giằng xé giữa khao khát ổn định và nỗi sợ tổn thương trong tình yêu của Summer, đối diện với lối sống tự do, không ràng buộc của Ford."
57,"Portrait in Death (In Death, #16)","After a tip from a reporter, Eve Dallas finds the body of a young woman in a Delancey street dumpster. Just hours before, the news station had mysteriously received a portfolio of professional portraits of the woman. The photos seemed to be nothing out of the ordinary for any pretty young woman starting a modeling career. Except that she wasn't a model. And that these photos were taken after she had been murdered.
Now Dallas is on the trail of a killer who's a perfectionist and an artist. He carefully observes and records his victim's every move. And he has a mission: to own every beautiful young woman's innocence, to capture her youth and vitality--in one fateful shot...","Viết bài đánh giá về ""Portrait in Death,"" tập trung vào cách tác giả khai thác sự ám ảnh về cái đẹp và sự kiểm soát, thể hiện qua mối quan hệ giữa kẻ giết người và nạn nhân."
58,The Runaway Bunny,"Celebrating 75 years, The Runaway Bunnyby Margaret Wise Brown, beloved children's book author of Goodnight Moon, in a sturdy board book edition, perfect for little hands.
""If you run away,"" said his mother, ""I will run after you. For you are my little bunny.""
A little bunny keeps running away from his mother in this imaginary game of hide-and-seek. Children will be profoundly comforted by this lovingly steadfast mother who finds her child every time.
The Runaway Bunny, first published in 1942 and never out of print, has indeed become a classic. Generations of readers have fallen in love with the gentle magic of its reassuring words and loving pictures. The sturdy board book pages make this edition of the beloved story perfect for babies and toddlers.","Tôi muốn viết bài đánh giá về cuốn sách ""The Runaway Bunny"" tập trung vào cách câu chuyện khám phá khái niệm về tình yêu vô điều kiện và sự gắn bó bền chặt giữa mẹ và con thông qua trò chơi trốn tìm tưởng tượng."
59,"The City Wants You Alone (Girl, #3)","Andrea Marr, post-college, leaves Portland, Oregon to pursue a writing career in New York City.","Viết bài đánh giá về cuốn sách ""The City Wants You Alone (Girl, #3)"" tập trung vào sự cô đơn và những khó khăn trong việc tìm kiếm bản sắc cá nhân giữa một thành phố New York rộng lớn và đầy cạnh tranh."
60,What Comes From The Earth,"Everybody has a problem with Sithembile 'Sithi' Nzeogwu. The mining companies are strongly anti-union, the miners are threatening a breakaway and in modern day South Africa, every politician has an angle. If life wasn't hard enough as a union fieldworker in the platinum townships, his every move upsets his older brother - captain of the local police and his chief tormentor throughout childhood.
Sithi is learning quickly that you can't keep all of the people happy all of the time, and when a corrupt government agitator arrives in town with weapons in crates and mercenaries in tow, the antes rise still further. Sithi will learn about loyalty to his members, his family and the country that he loves - but he'll need to grow and be strong if he's going to survive the lesson.","Viết đánh giá về ""What Comes From The Earth"" tập trung vào sự giằng xé giữa lòng trung thành với gia đình và nghĩa vụ với cộng đồng công nhân mỏ của Sithi, đặc biệt khi đối mặt với áp lực từ chính quyền tham nhũng và các thế lực bên ngoài."
61,The First Men in the Moon,"The First Men in the Moon is a 1901 scientific romance novel by the British author H. G. Wells. The novel tells the story of a journey to the moon undertaken by the two main protagonists, the impecunious businessman Mr Bedford and the brilliant but eccentric scientist Dr Cavor. On arrival, Bedford and Cavor find the moon inhabited by an extra terrestrial civilization the two name as ""Selenites.""
The novel can also be read as a critique of prevailing political opinions of the period, particularly of imperialism. The theme of a clash between civilizations is reminiscent of Wells' earlier and more famous work, The War of the Worlds. As in The War of the Worlds, it is hinted that the non-human civilization presented might reflect the way human society would develop in the far future. As such, the Selenite society depicted could be considered either a utopia or a dystopia, depending on which of its features one emphasizes.
Berkley Highland Edition F1398","Tôi muốn viết bài đánh giá về cuốn ""The First Men in the Moon"" tập trung vào việc phân tích xã hội Selenite, làm rõ những yếu tố khiến nó vừa có thể coi là một xã hội утопиа, vừa có thể coi là một xã hội phản утопиа, và hàm ý phê phán xã hội loài người đương thời của H.G. Wells thông qua hình tượng này."
62,"Bearly Midnight (Midnight, Mississippi, #1)",,"Đánh giá ""Bearly Midnight"": Phân tích sự giằng xé giữa bản năng bảo vệ cộng đồng của người sói và khao khát tình yêu cá nhân của nhân vật chính."
63,"Forty Nights (Neima's Ark, #2)","Neima, her family, and her grandfather Noah have found themselves trapped aboard an ark as a great flood destroys all life in the world. As their time aboard the ark lengthens, food begins to run out, wild animals grow restless, and family tensions become as much of a threat as the flood outside. In the second and final installment of Neima's Ark, the stakes are higher, the conflicts are greater, and Neima finds herself facing a choice as impossible as the destruction all around her.
Forty Nights is a continuation of the story begun in Forty Days, and it's recommended that you read Forty Days first for the best experience. Forty Nights does, however, contain a character guide to refresh readers' memories. The Neima's Ark series is a historical, feminist reimagining of the story of Noah's Ark rather than a religiously oriented one, and the novels are best suited for readers who are comfortable with new interpretations of biblical stories.
Forty Days, the first half of Neima's story, is free on all major ebook retailers including Amazon.","Đánh giá cuốn ""Forty Nights (Neima's Ark, #2)"" tập trung vào sự phát triển của nhân vật Neima và gánh nặng trách nhiệm lãnh đạo mà cô phải đối mặt trong bối cảnh nguồn lực cạn kiệt và mâu thuẫn leo thang trên tàu."
64,Beezus and Ramona,"Having a little sister like four-year-old Ramona isn't always easy for Beezus Quimby. With a wild imagination, disregard for order, and an appetite for chaos, Ramona makes it hard for Beezus to be the responsible older sister she knows she ought to be...especially when Ramona threatens to ruin Beezus's birthday party. Newbery Medal winner Beverly Cleary delivers a humorous tale of the ups and downs of sisterhood. Both the younger andolder siblings of the family will enjoy this book.
""An important reminder of the good that can come when you throw yourself fully into any situation and draw outside the lines,"" says Brightly.com in their article ""12 Girls from Fiction Who Are Their Own Heroes.""
Supports the Common Core State Standards","Tôi muốn viết bài đánh giá về cuốn sách ""Beezus and Ramona"" tập trung vào sự phát triển tình chị em giữa Beezus và Ramona, đặc biệt là cách Beezus học cách chấp nhận và yêu thương Ramona bất chấp những trò nghịch ngợm của em gái."
65,To Kill a Mockingbird,"""Shoot all the bluejays you want, if you can hit 'em, but remember it's a sin to kill a mockingbird.""
A lawyer's advice to his children as he defends the real mockingbird of Harper Lee's classic novel--a black man charged with the rape of a white girl. Through the young eyes of Scout and Jem Finch, Harper Lee explores with rich humor and unswerving honesty the irrationality of adult attitudes toward race and class in the Deep South of the 1930s. The conscience of a town steeped in prejudice, violence, and hypocrisy is pricked by the stamina and quiet heroism of one man's struggle for justice--but the weight of history will only tolerate so much.
One of the best-loved classics of all time, To Kill a Mockingbirdhas earned many distinctions since its original publication in 1960. It won the Pulitzer Prize, has been translated into more than forty languages, sold more than forty million copies worldwide, and was been made into an enormously popular movie. It was also named the best novel of the twentieth century by librarians across the country (Library Journal). HarperCollins is proud to celebrate the fiftieth anniversary of the book's publication with this special hardcover edition.","Tôi muốn viết bài đánh giá về cuốn sách ""To Kill a Mockingbird"" tập trung vào cách sự trưởng thành của Scout và Jem Finch bị ảnh hưởng bởi những định kiến chủng tộc và sự bất công mà họ chứng kiến trong xã hội miền Nam những năm 1930."
66,"In the Devil's Heart (World of de Wolfe Pack; Sins of the Duke, #2)","Lady Lily Scott is on the run from her abusive father-in-law. She's had it all, wealth, power, and anything her heart could ever desire. But she knows the dark side of all that glitters. Surviving her husband's death on the battlefield but able to countenance her father-in-law's control of her son, she steals her boy away to Scotland, hiding in the glens to keep him safe.
Laird Ian Aberroth, Earl of Glenfin, has returned from war a broken man. All he wants is to find peace in the wild mountains of his land. But when he meets Lady Lily Scott and her small son he will have to choose a life in solitude or plunge back into the fray of life to save them.","Đánh giá ""In the Devil's Heart"" tập trung vào sự thay đổi của cả Lily và Ian khi họ tìm thấy sự chữa lành và sức mạnh từ lòng trắc ẩn và sự tin tưởng lẫn nhau, vượt qua những tổn thương trong quá khứ và những nguy hiểm hiện tại."
